# lag   C(lag)   C_norm(lag)
     564  -3.399985532023E+00  -8.868547066258E-03
     565  -4.192090514392E+00  -1.093467948106E-02
     566  -3.693163505107E+00  -9.633274630125E-03
     567  -2.174445414958E+00  -5.671839284001E-03
     568  -1.906765323866E-01  -4.973620581543E-04
     569   1.959533139866E+00   5.111260537764E-03
     570   4.411210983955E+00   1.150623491245E-02
     571   7.382391504170E+00   1.925628385757E-02
     572   1.071137803151E+01   2.793963660204E-02
     573   1.377363173954E+01   3.592724151468E-02
     574   1.574653240107E+01   4.107336999348E-02
     575   1.592063984432E+01   4.152751311865E-02
     576   1.397433447669E+01   3.645075599849E-02
     577   1.021356843959E+01   2.664114643071E-02
     578   5.535953153289E+00   1.444002059248E-02
     579   1.075975785244E+00   2.806583087990E-03
     580  -2.176225633048E+00  -5.676482817855E-03
     581  -3.626177966239E+00  -9.458549061850E-03
     582  -3.195858283241E+00  -8.336100061328E-03
     583  -1.351748445452E+00  -3.525910506771E-03
     584   1.024204474071E+00   2.671542422231E-03
     585   2.950769077155E+00   7.696807588130E-03
     586   3.591434563766E+00   9.367924117370E-03
     587   2.395453536793E+00   6.248318481356E-03
     588  -6.778905238406E-01  -1.768214587923E-03
     589  -4.880614452721E+00  -1.273063034491E-02
     590  -8.620395977830E+00  -2.248550375850E-02
